Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Tyler Benson,24,EDM,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6:17,0,2,0,0,0
Patrice Bergeron,37,BOS,C,34,13,15,28,19,4,3.5,8,5,0,2,10,5,0,118,0,617,18:09,26,29,483,301,33.3
Jonatan Berggren,22,DET,RW,19,4,6,10,-2,4,0.8,2,2,0,0,3,3,0,29,4.5,242,12:45,10,5,1,0,47.1
Jacob Bernard-Docker,22,OTT,D,6,0,1,1,1,7,0.3,0,0,0,0,1,0,0,6,0,106,17:44,6,9,0,0,0
Tim Berni,22,CBJ,D,10,0,0,0,-8,6,-0.4,0,0,0,0,0,0,0,14,13,184,18:21,14,20,0,0,54
Tyler Bertuzzi,27,DET,LW,9,1,3,4,-1,4,0.2,1,0,0,0,2,1,0,22,4.7,140,15:32,4,9,0,1,46.3
William Bitten,24,STL,C,4,0,1,1,1,0,0.1,0,0,0,0,1,0,0,0,0,27,6:39,0,10,0,0,16.7
Anders Bjork,26,BUF,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.1,10,9:38,0,0,0,0,57.3
Marcus Bjork,25,CBJ,D,20,3,6,9,-5,16,1.2,2,1,0,0,2,4,0,23,0,391,19:33,36,27,0,0,47.4
Oliver Bjorkstrand,27,SEA,RW,32,4,12,16,1,4,0.9,3,1,0,0,10,2,0,86,0,494,15:27,22,23,7,12,37.7
Tobias Bjornfot,21,LAK,D,4,0,1,1,1,0,0.2,0,0,0,0,1,0,0,7,15.4,60,15:04,3,6,0,0,57.6
Nick Bjugstad,30,ARI,C,33,7,6,13,8,8,1.3,6,0,1,0,6,0,0,58,0,545,16:32,18,74,240,290,33.3
Colin Blackwell,29,CHI,C,27,0,3,3,-8,4,-0.4,0,0,0,0,2,0,1,30,4.3,326,12:05,11,30,13,12,38.1
Sammy Blais,26,NYR,LW,30,0,5,5,4,6,0.1,0,0,0,0,5,0,0,26,14.3,297,9:54,9,100,1,3,49.1
Nick Blankenburg,24,CBJ,D,7,2,1,3,-5,4,0.3,2,0,0,1,1,0,0,13,10,126,18:02,13,12,0,0,53.7
Anton Blidh,27,COL,LW,9,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,8,0,64,7:10,2,16,0,2,25
Teddy Blueger,28,PIT,C,19,1,5,6,-3,10,0.2,1,0,0,0,4,0,1,23,12.2,237,12:30,12,25,80,84,44
Matej Blumel,22,DAL,RW,6,1,0,1,-2,0,0,1,0,0,0,0,0,0,7,9.3,58,9:42,2,7,0,0,60
Brock Boeser,25,VAN,RW,26,6,14,20,-12,10,1.2,3,3,0,1,11,3,0,60,0,423,16:16,12,15,4,13,53.6
Zach Bogosian,32,TBL,D,10,0,0,0,-4,4,-0.2,0,0,0,0,0,0,0,7,11.5,138,13:51,6,38,0,0,49.9
Matt Boldy,21,MIN,LW,34,12,15,27,3,12,2.9,7,5,0,3,6,9,0,98,7.1,607,17:52,11,29,36,24,38.9
Nick Bonino,34,SJS,C,33,4,5,9,-9,12,0.1,4,0,0,0,4,1,0,43,0,530,16:04,50,9,156,160,47.3
Adam Boqvist,22,CBJ,D,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0,84,16:47,5,4,0,0,52.9
Jesper Boqvist,24,NJD,C,28,3,1,4,-3,0,0.1,3,0,0,2,1,0,0,26,3.9,288,10:18,7,14,36,60,47.9
William Borgen,26,SEA,D,32,2,8,10,5,19,1.6,2,0,0,1,8,0,0,28,0,498,15:34,40,84,0,0,46.6
Mark Borowiecki,33,NSH,D,4,0,0,0,0,12,0.1,0,0,0,0,0,0,0,1,7.5,40,9:56,1,5,0,0,55.3
Robert Bortuzzo,33,STL,D,25,0,0,0,1,25,0.3,0,0,0,0,0,0,0,16,0,304,12:10,22,36,0,0,48.9
Evan Bouchard,23,EDM,D,36,3,11,14,-12,12,1.1,3,0,0,0,7,3,1,77,9.8,664,18:26,36,53,0,0,0
Shane Bowers,23,COL,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5,2,1:46,0,0,0,2,52.4
Travis Boyd,29,ARI,C,33,3,10,13,-11,12,0.1,2,1,0,1,6,4,0,40,0,581,17:36,22,13,233,260,40.9
Erik Brannstrom,23,OTT,D,32,0,3,3,-1,18,1,0,0,0,0,3,0,0,33,0,506,15:49,56,22,0,0,21.1
Derick Brassard,35,OTT,C,25,4,4,8,1,14,0.7,4,0,0,1,1,3,0,41,0,347,13:53,5,42,117,108,37.6
Jesper Bratt,24,NJD,W,34,12,21,33,13,4,3.9,7,5,0,2,13,8,0,89,3.7,596,17:32,11,12,0,0,28.6
Justin Braun,35,PHI,D,32,0,0,0,0,17,0.6,0,0,0,0,0,0,0,27,0,520,16:16,35,32,0,0,55.3
Guillaume Brisebois,25,VAN,D,3,0,1,1,1,0,0.2,0,0,0,0,1,0,0,3,5.6,51,16:52,4,1,0,0,52.2
Philip Broberg,21,EDM,D,11,0,1,1,-3,2,0,0,0,0,0,1,0,0,4,0,137,12:25,13,6,0,0,30.8
T.J. Brodie,32,TOR,D,23,1,4,5,4,4,1.3,1,0,0,0,3,0,1,27,11.1,493,21:25,34,21,0,0,80
Jonas Brodin,29,MIN,D,28,0,4,4,4,14,1.4,0,0,0,0,3,0,1,38,0,617,22:02,54,22,0,0,75
Jonny Brodzinski,29,NYR,C,10,1,1,2,4,4,0.3,1,0,0,0,1,0,0,18,5.9,96,9:37,2,8,37,34,28.6
Connor Brown,29,WSH,RW,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,7.1,67,16:46,1,6,2,3,50
Josh Brown,29,ARI,D,29,3,2,5,-6,23,0.8,3,0,0,0,2,0,0,27,21.4,503,17:20,58,67,0,0,25
Logan Brown,24,STL,C,8,0,2,2,-1,0,0,0,0,0,0,2,0,0,5,12.9,70,8:45,3,6,6,19,46.7
Patrick Brown,30,PHI,C,16,1,1,2,-2,2,-0.1,1,0,0,0,1,0,0,17,12.7,182,11:22,16,38,46,41,51.1
Jacob Bryson,25,BUF,D,25,1,7,8,-15,4,-0.1,1,0,0,0,6,0,1,14,0,417,16:42,38,14,0,0,56.1
Pavel Buchnevich,27,STL,LW,26,12,15,27,0,14,3,7,5,0,2,8,7,0,56,3.6,494,19:00,5,27,4,22,50
Michael Bunting,27,TOR,LW,35,9,15,24,20,42,2.9,9,0,0,1,13,2,0,70,13.3,555,15:51,11,37,1,1,49.5
Andre Burakovsky,27,SEA,LW,32,10,18,28,-9,12,2.2,6,4,0,2,12,6,0,79,0,553,17:17,8,11,0,4,52.7
Callahan Burke,25,COL,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,18.2,18,8:49,2,1,2,4,53.1
Brent Burns,37,CAR,D,35,4,20,24,7,26,4.2,2,2,0,1,11,9,0,111,0,832,23:45,39,21,0,0,46.2
Kyle Burroughs,27,VAN,D,17,2,0,2,-10,30,-0.2,2,0,0,0,0,0,0,15,25,298,17:32,36,56,0,0,56
Quinton Byfield,20,LAK,C,9,0,3,3,-1,4,0.1,0,0,0,0,3,0,0,5,33.3,103,11:27,4,5,32,36,41.5
Bowen Byram,21,COL,D,10,2,3,5,3,4,1.2,1,0,1,0,2,1,0,11,2.4,208,20:47,11,15,0,0,49.1
